CASE_NUM,alpha,beta,RAE
1,0.5504652391641631,0.03288227946532715,0.13658023559976892
2,0.5530319068444093,0.03288156823981312,0.13487216409388
3,0.5610269521265534,0.03288133154538427,0.13339947597590765
4,0.5543347573541944,0.032881923731227086,0.13039267241160138
5,0.5598085947879852,0.03288228063806385,0.1280800746934958
6,0.5841039951725571,0.03853805431538524,0.12782549434989623
7,0.5927247462190613,0.038537235103183916,0.12485569098945183
8,0.5973657332258292,0.03853723136444584,0.12090647292924646
9,0.6053351029456655,0.03853793709906453,0.11652821839961056
10,0.6146904764302369,0.038537818218150985,0.1113033604451833
11,0.6269769006326812,0.038537231721703924,0.10534917400767138
12,0.6533867495595753,0.04419348163390385,0.10152643870825788
13,0.6786924495455486,0.04419313110456398,0.09463399341999805
14,0.6542210344965748,0.03853758628030141,0.0810571786321515
15,0.6850205778117402,0.03853746698449169,0.07247681984934064
16,0.5364545637232544,0.032925006085905026,0.13848409112239524
17,0.542683362194509,0.03292429764944191,0.13706053039199168
18,0.5428850226478492,0.032924061487259945,0.13488716855844043
19,0.5536658754349773,0.032924654660806144,0.13333635065974295
20,0.5721582422141257,0.03858041643984867,0.13284794544671905
21,0.5798697188041134,0.038580536662512516,0.1302455769342516
22,0.5885902284606309,0.03857971228052332,0.12722947083939404
23,0.5937557946756957,0.038579711032411826,0.12326148282400169
24,0.6021708646137754,0.03858041584936709,0.11884078878639624
25,0.610657281913278,0.038580298237081694,0.1134072087733538
26,0.623235564355109,0.03857971343536441,0.1073050224866838
27,0.6559438485912291,0.044235718707627915,0.10368623450695708
28,0.6740429188341788,0.0442353595056066,0.0960548014871778
29,0.6475339592377313,0.03858006625823791,0.08248329189380504
30,0.6792539672477731,0.038579955725255834,0.07385216784685583
31,0.6087851822114503,0.044285969040257486,0.15195843745786952
32,0.6885783399247191,0.061250618562093136,0.16126604654041626
33,0.5386390944800011,0.038629916823161685,0.1397948367078387
34,0.5619740807963084,0.03863050660223227,0.1393874403348975
35,0.5700776621837881,0.038630856834889274,0.1371468119942578
36,0.5677603830842767,0.038630973646230186,0.13347140261403131
37,0.5818500972028834,0.03863015168619848,0.13084291436840526
38,0.5871291470444158,0.03863015161174843,0.1267416017698519
39,0.59343269177113,0.03863085972119481,0.12196812447433816
40,0.604215880648516,0.03863073816573548,0.1165413077324094
41,0.6164122412831149,0.038630154053129265,0.1102332289796365
42,0.6329961849977586,0.038630742700072086,0.10305733946335813
43,0.6666940073804842,0.044285506181860466,0.0984441316137592
44,0.785196216053612,0.05559585042341327,0.10249181996298075
45,0.673264151512209,0.03863039589423937,0.07573881984194399
136,0.6632666152971206,0.06646796424018273,0.14952409948886392
137,0.7107232834004268,0.11974839282075167,0.2122188626791593
138,0.6786415308916806,0.14986306105317024,0.24773322609305828
139,0.6344729120576595,0.16839309678468847,0.2737783220678329
140,0.6550941138766376,0.22630444055745594,0.3063643109559101
141,0.596768076547138,0.24947062070775897,0.33899711163297375
142,0.5918599243241192,0.3235950771208719,0.36468934687685245
143,0.2278606533562887,0.3421285784832312,0.16347391273904444
144,0.5856295732595282,0.33054569816215507,0.3658849644886223
145,0.592927503074923,0.3027472001571997,0.36044273598958376
146,0.5757224796429422,0.2749499718016725,0.33594520376038506
147,0.5607669058137087,0.27726710600636967,0.2875941496881585
148,0.5593285290190502,0.21935507927198086,0.2745415804890139
149,0.5309275306373941,0.16376097280199556,0.23994425612763534
150,0.5070497288711713,0.09658359418949915,0.2013206579263869
151,0.6862832831287369,0.05822610916582967,0.1027813818784108
152,0.7220048733918878,0.09293720080466894,0.17473802680073094
153,0.6916876996263572,0.11839131982379769,0.2328856760070519
154,0.6568075921112247,0.15541267592106522,0.26830101141337614
155,0.6327704310609807,0.19012174142203397,0.2963424033528743
156,0.6347517058952866,0.2734250986119449,0.3176214845567318
157,0.6297492229316792,0.3335854742476936,0.35468538779699676
158,0.5991368841934982,0.36598221231900496,0.37310828248125827
159,0.6134586312466231,0.33358672306067544,0.39558752948799975
160,0.5910800391578512,0.33127174380541297,0.3575960167277094
161,0.6387071122102553,0.31970226738751395,0.3555626101880393
162,0.5934950880558117,0.29193567673343684,0.3103462510470851
163,0.5643916956558779,0.21094718196766288,0.29938350578269807
164,0.5365436016170669,0.17392495062863336,0.25276384536778873
165,0.21535850042689278,0.11607628119086914,0.12404283086371005
166,0.7119249566682955,0.0611103304967398,0.09592276338285267
167,0.7714413212668155,0.09117529331311394,0.15721357387533283
168,0.7286350649007666,0.1258640738879819,0.22659705608708253
169,0.664220681474853,0.1605504373380288,0.2649164856809722
170,0.6287821200033505,0.1836757675294093,0.29604255718281336
171,0.6383558575836864,0.2553659302438559,0.3235164374927181
172,0.6416519991332923,0.33861507987693745,0.3548107409299642
173,0.6190923497616431,0.3848673129308343,0.3752610724672526
174,0.5930211035977057,0.3686792172201437,0.3672739646915015
175,0.5677924708713971,0.3247400848844341,0.35504737253751223
176,0.6017148537946938,0.30624002788303883,0.35075318803664135
177,0.6025982437373698,0.2599900561975651,0.33964867108818575
178,0.5894110660654687,0.24611416400269584,0.2928692726821153
179,0.5513705185737992,0.1859890627014878,0.2566245479393254
180,0.5705188004824435,0.13280057732401143,0.22375269833051312
226,0.9999999999600035,0.12033572359953838,0.16725884331107077
227,0.9999999999260583,0.11612818875270921,0.15419143791529488
228,0.9999999997569556,0.1115507745282745,0.13870108455729288
229,0.9999999994544482,0.10764192675197058,0.1230966540715605
230,0.9999999999983856,0.10414012057139681,0.10752267780880012
231,0.9999999999865743,0.1015117911942907,0.0982157041931253
232,0.9999999994891223,0.10019492604718566,0.09381802732166149
233,0.9999999999935417,0.10128639843108614,0.09333741050632766
234,0.9595244086571649,0.09977222524773983,0.09776197540359452
235,0.8222551726234449,0.08781236117107413,0.11143168308905038
236,0.7140022956782747,0.08354101927697259,0.13282939414869868
237,0.5781591975952605,0.10062501050320488,0.15460351484237894
238,0.4248967291262869,0.22532582169982285,0.20809907295112304
239,0.4760058969564635,0.4379977314822316,0.352442714781011
240,0.572447519118256,0.2834037752487306,0.3836629193856909
241,0.9999999999221619,0.11053344265488028,0.13800466649038337
242,0.9999999998281932,0.10762782329308591,0.1262316405039379
243,0.9999999999994589,0.10474504810771432,0.11297276286421053
244,0.9999999985669557,0.10232175581444433,0.10125120186940265
245,0.9999999999807738,0.10024790420603741,0.09391363232373567
246,0.9999999999994019,0.09946273053695771,0.09080309306178978
247,0.9999999998831877,0.10028528470381874,0.09053522734651932
248,0.9999632634234441,0.10365521770662428,0.09304506477496088
249,0.8984740064879579,0.0911754179361433,0.100505071301202
250,0.7982077425276889,0.0860624834866317,0.1143039209985515
251,0.698837967325023,0.08606169001558796,0.13277506126669597
252,0.5942771260090219,0.10309844471741399,0.15028530978086954
253,0.4673466948650055,0.187424010995387,0.1891914473214081
254,0.5100107179323458,0.4438022784167433,0.3556653027260663
255,0.49285244712024173,0.27770890950650595,0.36606462509420756
256,0.9999999998700199,0.1064605320053181,0.12390042202785677
257,0.9999999999995036,0.10399770758745386,0.11222161199088149
258,0.9999999992219886,0.1019097409862557,0.10104047044618088
259,0.9999999999930836,0.10017423749146,0.0938899292368862
260,0.9999999999472509,0.09914005748351236,0.0898077762595483
261,0.9999999992641037,0.0991211472116064,0.0884227335002845
262,0.9999999481986784,0.10079187196868271,0.08937251817081869
263,0.9822819704115865,0.10154705493117128,0.09337619561972693
264,0.9188096732774559,0.09899538658982436,0.10216003316146051
265,0.7832060506387378,0.08452928067980851,0.11663277508035778
266,0.6747325959785611,0.0865708553884072,0.13374969025390038
267,0.5904039129144949,0.10580037600775226,0.14984467561950118
268,0.47904448870367156,0.17556802007448974,0.18025025479317572
269,0.5178124186423799,0.44612416327493754,0.35635073785632126
270,0.47179750380483304,0.2972321950814411,0.34420141189078257
